text,filter_text,intent,is_diff,relabel_intent,tag
bạn tăng đèn vườn 4 ở phòng làm việc 5 7 lên 5 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,bạn tăng ở lên phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
hãy tăng giúp ta cái đèn ngủ thứ 4 ở phòng nam,hãy tăng giúp ta cái ở,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom
tăng đèn chùm 4 15 phần trăm tại phòng chánh 5 phòng 7,tăng phần trăm tại phòng,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber
tăng lên đèn lồng thứ 1 sân vườn thêm 24 phần trăm,tăng lên thêm phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng đèn trụ cổng 4 29 phần trăm tại phòng thực hành lầu trệt 9,tăng phần trăm tại lầu trệt,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber
hãy tăng giúp ta cái bòng hắt trần 1 ở phòng ăn trưa 1,hãy tăng giúp ta cái ở,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
tăng độ sáng điện thêm 8 phần trăm,tăng độ sáng thêm phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng lên độ sáng led 1 phòng hội nghị 4 lên 72 phần trăm,tăng lên độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn tăng bóng ốp tường thứ 1 ở phòng ngủ con lên 4 phần trăm giúp mình nhé,bạn tăng ở lên phần trăm giúp mình nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O
bạn giúp mình tăng bóng 4 lên 3 phần trăm với,bạn giúp mình tăng lên phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn có thể giúp mình tăng mức độ của bóng hắt bên phòng thờ lên 23 phần trăm được không,bạn có thể giúp mình tăng mức độ của bên lên phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
ơi bạn đèn tuýp tăng lên 29 phần trăm ná,ơi bạn tăng lên phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn giúp mình tăng rèm đôi thứ 4 lên 19 phần trăm với,bạn giúp mình tăng lên phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn có thể tăng giúp mình đèn tường 1 lên mức 7 phần trăm được không,bạn có thể tăng giúp mình lên mức phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn có thể tăng giúp mình độ sáng ốp tường lên được không,bạn có thể tăng giúp mình độ sáng lên được không,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O B-devicedevice I-devicedevice O O O
ơi bạn đèn ngủ tăng lên 18 phần trăm ná,ơi bạn tăng lên phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
giúp mình tăng bóng để bàn lên 3 phần trăm ở khách 3 phòng 2 nhé,giúp mình tăng lên phần trăm ở phòng nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O
thay đổi bóng hắt tường 2 nhé,thay đổi nhé,smart.home.increase.percentage,True,smart.home.device.onoff,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
bật loa đài thứ 1 đi trợ lý,bật đi trợ lý,smart.home.increase.percentage,True,smart.home.device.onoff,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O
ốp trần 2 thêm 29 phần trăm,thêm phần trăm,smart.home.increase.percentage,True,smart.home.device.onoff,B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng bóng tuýp thứ 4 lên 17 phần trăm,tăng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
bạn giúp mình tăng bóng đứng thứ 4 lên 15 phần trăm với,bạn giúp mình tăng lên phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
mình muốn tăng đèn ốp tường 2,mình muốn tăng,smart.home.increase.percentage,True,smart.home.device.onoff,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
hãy tăng giúp ta cái van nước 2 ở sân sau,hãy tăng giúp ta cái ở,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom
ơi bạn quạt treo tường 3 tăng lên 19 phần trăm ná,ơi bạn tăng lên phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bật đèn để bàn thứ 2 đi trợ lý,bật đi trợ lý,smart.home.increase.percentage,True,smart.home.device.onoff,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O
tăng độ sáng đèn đứng phòng là lên 96 phần trăm,tăng độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
trợ lí ngốc nghếch tôi muốn tăng mức độ động cơ thứ 3,trợ lí ngốc nghếch tôi muốn tăng mức độ,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
bạn có thể giúp mình tăng mức độ của bóng tuýp thứ 3 bên phòng nghiên cứu 2 lên 13 phần trăm được không,bạn có thể giúp mình tăng mức độ của bên lên phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
tăng đến ánh sáng đèn led lên mức 77 phần trăm,tăng đến ánh sáng lên mức phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng đến mỗi tvs thứ 2 lên 95 phần trăm,tăng đến mỗi lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand B-allall B-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
giúp tôi tăng đến đèn nhiều màu thứ 2 phòng tắm 1 thêm 14 phần trăm nữa,giúp tôi tăng đến thêm phần trăm nữa,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn tăng đèn vách ở phòng xông hơi 3 9 lên 4 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,bạn tăng ở lên phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
bạn có thể tăng giúp mình bóng hắt tường 3 lên mức 27 phần trăm được không,bạn có thể tăng giúp mình lên mức phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn có thể tăng giúp mình van nước 2 lên mức 27 phần trăm được không,bạn có thể tăng giúp mình lên mức phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn tăng đèn cảnh ở ga ra phòng 1 lên 18 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,bạn tăng ở phòng lên phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
làm ơn tăng thêm đèn âm trần 4 lên 81 phần trăm giúp tôi,làm ơn tăng thêm lên phần trăm giúp tôi,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
trợ lí ngốc nghếch tôi muốn tăng mức độ rèm cửa,trợ lí ngốc nghếch tôi muốn tăng mức độ,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O O B-devicedevice I-devicedevice
mình muốn tăng huỳnh quang thứ 1,mình muốn tăng,smart.home.increase.percentage,True,smart.home.device.onoff,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
trợ lý béo tăng đèn ốp tường thứ 4 lên 10 phần trăm ở phòng cuối 5 phòng 3,trợ lý béo tăng lên phần trăm ở phòng,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber
ơi bạn bóng tiết kiệm điện tăng lên 6 phần trăm ná,ơi bạn tăng lên phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
bạn tăng âm thanh đa vùng ở phòng ăn trưa lên 7 phần trăm giúp mình nhé,bạn tăng ở lên phần trăm giúp mình nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O
rèm ngang đại sảnh tăng thêm lên 92 phần trăm,tăng thêm lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-devicedevice I-devicedevice B-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng đến quạt treo tường 2 phòng giặt đến 95 phần trăm,tăng đến đến phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
mình muốn tăng mức độ của bóng vách 4,mình muốn tăng mức độ của,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O B-devicedevice I-devicedevice I-devicedevice
em tăng giúp anh rèm ngang thứ 1 nhé,em tăng giúp anh nhé,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
trợ lý béo tăng đèn tường thứ 2 lên 7 phần trăm ở tiền sảnh 5 10,trợ lý béo tăng lên phần trăm ở,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber
hãy tăng đến độ sáng quầy lễ tân lên 65 phần trăm,hãy tăng đến độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn có thể tăng giúp mình độ sáng đèn tuýp thứ 4 lên được không,bạn có thể tăng giúp mình độ sáng lên được không,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O
tăng quạt hút mùi thứ 2 lên 10 phần trăm ở phòng bếp 4 lầu trệt 2,tăng lên phần trăm ở lầu trệt,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber
trợ lí ngốc nghếch tôi muốn tăng mức độ đèn compact 2,trợ lí ngốc nghếch tôi muốn tăng mức độ,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice
hãy tăng giúp ta cái đèn bàn thứ 2 ở tủ giữ đồ,hãy tăng giúp ta cái ở,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom
thay đổi đèn tiết kiệm điện 2 nhé,thay đổi nhé,smart.home.increase.percentage,True,smart.home.device.onoff,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O
tăng thêm đèn treo tường thứ 4 phòng giặt ủi đến 94 phần trăm,tăng thêm đến phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng lên quạt thông gió thứ 4 lên 73 phần trăm nhé,tăng lên lên phần trăm nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O
mình muốn tăng mức độ của đèn sợi đốt 1,mình muốn tăng mức độ của,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
em tăng giúp anh bóng ngủ thứ 4 nhé,em tăng giúp anh nhé,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O
mình cần tăng thiết bị đèn ốp trần lên 19 phần trăm với,mình cần tăng thiết bị lên phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
tăng nút ấn 20 phần trăm tại phòng chung 2 4,tăng phần trăm tại,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber
tăng ánh sáng bóng đứng lên mức 95 phần trăm,tăng ánh sáng lên mức phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand O O B-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn có thể tăng giúp mình độ sáng màn cuốn lên được không,bạn có thể tăng giúp mình độ sáng lên được không,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O B-devicedevice I-devicedevice O O O
mình muốn tăng bóng trụ cổng 3,mình muốn tăng,smart.home.increase.percentage,True,smart.home.device.onoff,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
bật kịch bản 3 đi trợ lý,bật đi trợ lý,smart.home.increase.percentage,True,smart.home.device.onoff,O B-devicedevice I-devicedevice I-devicedevice O O O
trợ lí ngốc nghếch tôi muốn tăng mức độ đèn tuýp thứ 2,trợ lí ngốc nghếch tôi muốn tăng mức độ,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
giúp mình tăng rèm ngang khách 4 lên 74 phần trăm,giúp mình tăng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
trợ lý béo tăng downlight thứ 2 lên 4 phần trăm ở sân sau phòng 8,trợ lý béo tăng lên phần trăm ở phòng,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber
bóng tiết kiệm điện phòng tiếp đón tăng thêm lên 54 phần trăm,tăng thêm lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng độ sáng ốp tường phòng dành cho nam 4 lên 89 phần trăm,tăng độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng rèm đôi thứ 4 4 phần trăm,tăng phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
mình cần tăng thiết bị tvs thứ 4 lên 10 phần trăm với,mình cần tăng thiết bị lên phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
hãy tăng thêm độ sáng phòng ngủ con lên 55 phần trăm,hãy tăng thêm độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
giúp mình tăng đèn cổng thứ 2 lên 22 phần trăm nhé,giúp mình tăng lên phần trăm nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O
giúp mình tăng đèn vách vườn sau 3 lên 76 phần trăm,giúp mình tăng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
mình muốn tăng mức độ của tivi 3,mình muốn tăng mức độ của,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O O B-devicedevice I-devicedevice
tăng bóng sân 3 lên 19 phần trăm ở văn phòng 7,tăng lên phần trăm ở,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber
