text,tag,intent
các chuyến bay jetstar từ côn đảo đến đà nẵng vào buổi sáng,O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day,flight
có những loại phương tiện giao thông đường bộ nào ở sân bay thành phố đà nẵng,O O O O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,ground_service
trong hai ngày tới tôi muốn bay từ pleiku đến cà mau hoặc đến huế,O O O B-depart_date.date_relative O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or O B-toloc.city_name,flight
hãng hàng không vietnam airlines có chuyến bay từ huế đến thành phố hồ chí minh không,B-airline_name I-airline_name I-airline_name I-airline_name I-airline_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O,flight
đà nẵng đến cà mau,B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
vna có bao nhiêu chuyến bay hạng thương gia,B-airline_code O O O O O B-class_type I-class_type I-class_type,quantity
cho tôi biết các chuyến bay hạng nhất từ đà lạt đến đà nẵng,O O O O O O B-class_type I-class_type O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
tôi muốn tìm giá vé một chiều rẻ nhất từ hà nội đến thành phố vinh,O O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,airfare
có bao nhiêu hạng ghế,O O O O O,quantity
các chuyến bay từ cam ranh đến cà mau vào thứ tư ngày mười chín,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number,flight
chuyến bay nào rời buôn ma thuột vào ngày 5 tháng 7 sau 7 giờ tối và đến cần thơ,O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name I-toloc.city_name,flight
liệt kê giúp tôi tất cả các chuyến bay đến và đi từ sân bay quốc tế nội bài,O O O O O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name,flight
london nằm trong múi giờ nào,B-city_name O O O O O,city
cho tôi biết các loại phương tiện giao thông đường bộ có ở hà nội và ở đà nẵng,O O O O O O O O O O O O O B-city_name I-city_name O O B-city_name I-city_name,ground_service
tôi muốn tìm chuyến bay đầu tiên từ đà nẵng đến hà nội có phục vụ bữa ăn,O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-meal I-meal,flight
từ đồng hới đến điện biên phủ,O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
bạn có thể cho tôi biết các chuyến bay từ đà lạt đến đà nẵng với giá vé phổ thông được không,O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-economy I-economy O O,flight
những chuyến bay nào khởi hành từ hải phòng,O O O O O O O B-fromloc.city_name I-fromloc.city_name,flight
các chuyến bay nào từ buôn ma thuột đến huế,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
hiển thị các chuyến bay rời phú quốc đến pleiku của vietjet mà khởi hành sau giữa trưa,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time,flight
vui lòng cung cấp cho tôi danh sách tất cả các chuyến bay giữa đà lạt và đà nẵng và chi phí tương ứng,O O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O,airfare#flight
mã giá vé y có nghĩa là gì,O O O B-fare_basis_code O O O O,abbreviation
giao thông đường bộ ở hải phòng,O O O O O B-city_name I-city_name,ground_service
được rồi vậy bạn có thể cho tôi biết chuyến bay nào rời thanh hóa đến thành phố hồ chí minh của vietnam airlines,O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name,flight
cho tôi biết tất cả các chuyến bay từ huế đến thành phố hồ chí minh vào thứ tư tới khởi hành sau giữa trưa,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.date_relative O O B-depart_time.time_relative B-depart_time.time I-depart_time.time,flight
có chuyến bay nào bay từ prague đến thành phố hồ chí minh mà có dừng lại ở amsterdam không,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name O,flight
hiển thị các chuyến khởi hành và điểm đến tại hạ long của hãng hàng không jetstar pacific,O O O O O O O O O O B-city_name I-city_name O B-airline_name I-airline_name I-airline_name I-airline_name I-airline_name,flight
tìm cho tôi chuyến bay sớm nhất từ hà nội đến cam ranh và chuyến bay trở về muộn nhất từ cam ranh đến hà nội trong cùng một ngày,O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.date_relative O O,flight
tôi muốn bay từ cà mau đến tuy hòa vào tối thứ tư hoặc sáng thứ năm,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name B-or B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name,flight
tôi muốn một chuyến bay xuất phát từ hà nội có đi qua cả hongkong và los angeles,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O O O O B-toloc.city_name O B-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay từ đà lạt đến hạ long,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
có những chuyến bay nào còn chỗ khởi hành từ huế đến thành phố hồ chí minh,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
chi phí của một chuyến bay từ hà nội đến huế là bao nhiêu,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O,airfare
cho tôi chuyến bay sớm nhất từ cà mau đến buôn ma thuột có phục vụ đồ ăn nhẹ,O O O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O B-meal_description I-meal_description I-meal_description,flight
bạn có thể cho tôi biết giá vé khứ hồi từ đà nẵng đến hạ long được không,O O O O O O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O,airfare
có chuyến bay nào rời hà nội lúc 6 giờ 45 sáng để đến hongkong không,O O O O O B-fromloc.city_name I-fromloc.city_name O B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name O,flight
tất cả các chuyến bay đến sân bay của thành phố hạ long,O O O O O O O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay từ hạ long đến quy nhơn vào thứ sáu,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name,flight
mã giá vé qx có nghĩa là gì,O O O B-fare_basis_code O O O O,abbreviation
tôi muốn biết thông tin về chuyến bay của vna từ hà nội đến phú yên,O O O O O O O O O B-airline_code O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
hãng hàng không nào có chuyến bay từ hà nội đến washington dc và có điểm dừng ở một số thành phố khác,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O O O O O,airline
giao thông đường bộ ở cần thơ,O O O O O B-city_name I-city_name,ground_service
liệt kê tất cả các chuyến bay vào buổi chiều của vietnam airlines từ thành phố hồ chí minh đến huế,O O O O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
cho tôi biết tất cả các chuyến bay từ thành phố hồ chí minh đến hà nội vào một ngày thứ hai,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_date.day_name I-depart_date.day_name,flight
chuyến bay muộn nhất rời hà nội đến huế,O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
"được rồi , vui lòng cho tôi biết loại phi cơ được sử dụng trên chuyến bay từ chu lai đến sài gòn",O O O O O O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,aircraft
vui lòng cho tôi biết các chuyến bay từ cà mau đến đà nẵng vào ngày 28,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_number I-depart_date.day_number,flight
những hãng hàng không nào có chuyến bay bay từ sài gòn đến đà nẵng và từ đà nẵng đến hà nội,O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airline
tôi muốn thực hiện một chuyến bay bắt đầu từ boston và hạ cánh ở dallas fort worth nhưng tôi muốn có một điểm dừng ở philadelphia,O O O O O O O O O O B-fromloc.city_name O O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O O B-stoploc.city_name,flight
cho tôi chuyến bay sớm nhất vào ngày mai của vietnam airlines từ huế đến cà mau,O O O O B-flight_mod I-flight_mod O B-depart_date.today_relative I-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
các chuyến bay của hãng hàng không jetstar từ huế đến cà mau,O O O O B-airline_name I-airline_name I-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
chuyến bay nào còn trống vào giữa trưa từ hà nội đến chu lai chuyến bay nào còn chỗ vào khoảng giờ trưa từ hà nội đến chu lai,O O O O O O B-depart_time.time I-depart_time.time O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
tôi cần một chuyến bay trở về khởi hành từ hà nội đến côn đảo,O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
các chuyến bay của bamboo airways với một điểm dừng tại huế,O O O O B-airline_name I-airline_name O O O O O B-stoploc.city_name,flight
giá vé hạng nhất từ đà nẵng đến đà lạt là bao nhiêu,O O B-class_type I-class_type O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O,airfare
bạn có thể vui lòng cho tôi biết các hãng hàng không bay có các chuyến bay từ huế đến hải phòng được không,O O O O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O,airline
chuyến bay sớm nhất từ điện biên phủ đến quy nhơn vào ngày ba mươi tháng sáu,O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name,flight
cho tôi biết các chuyến bay không dừng từ sài gòn đến dubai,O O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
cho tôi xem giá vé hạng phổ thông từ đà lạt đến đà nẵng,O O O O O B-economy I-economy I-economy O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airfare
tôi muốn một chuyến bay của hãng hàng không jetstar vào ngày 20 tháng 8 từ hà nội đến buôn ma thuột,O O O O O O B-airline_name I-airline_name I-airline_name I-airline_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
bạn có chuyến bay không nghỉ nào vào thứ tư từ huế đến washington dc không,O O O O B-flight_stop I-flight_stop O O B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O,flight
dli là gì,B-airport_code O O,abbreviation
tôi muốn bay từ hà nội đến thành phố hồ chí minh,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
chuyến bay nào rời đà lạt đi hạ long vào ngày 27 tháng 8 vào buổi tối,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name O B-depart_time.period_of_day I-depart_time.period_of_day,flight
các chuyến bay sáng thứ tư giữa đà nẵng và cần thơ,O O O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay từ đà lạt đến côn đảo,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
có những chuyến bay nào của jetstar bay đến côn đảo sau 11 giờ tối,O O O O O O B-airline_name O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time,flight
giá vé rẻ nhất mà jetstar có cho một chuyến bay giữa hà nội và thành phố hồ chí minh là bao nhiêu,O O B-cost_relative I-cost_relative O B-airline_name O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O O O,airfare
tôi muốn đi từ hà nội đến thành phố hồ chí minh,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
giá vé máy bay khứ hồi từ buôn ma thuột đến thành phố vinh dưới 3 triệu rưỡi,O O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-cost_relative B-fare_amount I-fare_amount I-fare_amount,airfare
có hãng hàng không nào có chuyến bay phản lực giữa buôn ma thuột và đà nẵng không,O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,airline
dad có nghĩa là gì,B-airport_code O O O O,abbreviation
cho tôi xem các chuyến bay từ tuy hoà phú yên đến sân bay quốc tế tân sơn nhất vào thứ bảy tới,O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.date_relative,flight
tôi muốn bay từ đà lạt đến thành phố vinh,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
cho tôi biết các chuyến bay giữa thành phố hà nội và cam ranh,O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
mất bao lâu để đi từ sân bay đà nẵng đến trung tâm thành phố đà nẵng,O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,distance
cho tôi xem tất cả giá vé hạng nhất từ đà lạt đến đà nẵng,O O O O O O O B-class_type I-class_type O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airfare
có chuyến bay nào giữa thành phố hồ chí minh và thành phố newyork có điểm dừng ở tokyo không,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O,flight
cho tôi xem thông tin giao thông đường bộ của thành phố hồ chí minh,O O O O O O O O O O B-city_name I-city_name I-city_name I-city_name I-city_name,ground_service
cần một chuyến bay giá rẻ từ đà nẵng đến thành phố hồ chí minh,O O O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
tìm chuyến bay sớm nhất từ hà nội đến cần thơ có phục vụ bữa sáng,O O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-meal_description I-meal_description,flight
tôi muốn bay từ los angeles đến san francisco rồi đến thành phố hồ chí minh,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
cho tôi biết tất cả các chuyến bay trực tiếp từ hạ long đến kyoto,O O O O O O O O B-connect I-connect O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
chuyến bay muộn nhất từ thanh hóa đến cà mau,O O B-flight_mod I-flight_mod O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
các chuyến bay từ thành phố hà nội đến cam ranh đến vào chủ nhật,O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_date.day_name I-arrive_date.day_name,flight
tôi muốn bay một chuyến bay của united airlines từ washington dc đến denver colorado,O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name,flight
được rồi tôi cần xem các chuyến bay hạng phổ thông của vietnam airlines giữa đà lạt và đà nẵng,O O O O O O O O B-economy I-economy I-economy O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
vui lòng cho tôi biết các chuyến bay từ buôn ma thuột đến hạ long vào sáng thứ tư có phục vụ bữa sáng,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O O O B-meal_description I-meal_description,flight
tôi cần thông tin về các chuyến bay rời đà nẵng và đến hạ long,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name,flight
cho tôi xem tất cả các chuyến bay từ sài gòn đến phú quốc và sẽ đến phú quốc trước 9 giờ sáng mai,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative,flight
cho tôi xem giá vé từ thanh hóa đến thành phố hồ chí minh,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,airfare
vui lòng cung cấp cho tôi các chuyến bay còn chỗ từ đà nẵng đến điện biên phủ,O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
các chuyến bay vào ngày 1 tháng 12 năm 2022 từ hà nội đến thành phố hồ chí minh,O O O O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_date.year I-depart_date.year O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
các chuyến bay từ huế đến đà lạt trong khoảng từ 10 giờ sáng đến 2 giờ chiều,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time,flight
có những loại phương tiện giao thông đường bộ nào ở hạ long,O O O O O O O O O O O B-city_name I-city_name,ground_service
liệt kê các chuyến bay không dừng từ baltimore washington đến busan và hạ cánh trong khoảng từ 4h45 đến 5h15 chiều,O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,flight
cho tôi xem các chuyến bay từ đà nẵng đến thành phố hồ chí minh trong khoảng từ 6 giờ chiều đến 8 giờ tối ngày thứ sáu,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name I-depart_date.day_name,flight
tôi muốn bay từ huế đến thành phố hồ chí minh,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
giá vé hạng hai chỉ vào các ngày trong tuần từ huế đến hà nội,O O B-class_type I-class_type B-flight_mod I-flight_mod I-flight_mod I-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airfare
giá vé hạng hai cho các chuyến bay từ quy nhơn đến phuket khởi hành sau 3 giờ chiều là bao nhiêu,O O B-class_type I-class_type O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O O,airfare
từ thành phố điện biên phủ đến huế,O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,flight
tôi muốn có một chuyến bay không có điểm dừng từ thành phố vinh đến buôn ma thuột,O O O O O O B-flight_stop I-flight_stop I-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
tôi có những lựa chọn nào cho các chuyến bay khởi hành vào đầu buổi chiều từ côn đảo đến hạ long,O O O O O O O O O O O O O B-depart_time.period_mod B-depart_time.period_of_day I-depart_time.period_of_day O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
chuyến bay nào rẻ nhất bay từ sài gòn đến hạ long trước 8 giờ,O O O B-cost_relative I-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time,flight
liệt kê các chuyến bay khứ hồi hàng ngày có thể có giữa hà nội và cần thơ,O O O O O B-round_trip I-round_trip B-flight_days I-flight_days O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,flight
vui lòng cho tôi giá vé khứ hồi từ đà nẵng đến thanh hóa,O O O O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,airfare
tìm một chuyến bay từ hà nội đến los angeles dừng ở san francisco,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name I-stoploc.city_name,flight
xin vui lòng liệt kê các chuyến bay từ phú quốc đến đồng hới vào đêm thứ sáu mà có phục vụ bữa ăn,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O O O O B-meal I-meal,flight
