text,intent,is_diff,text_filter,is_diff1,new_intent
mình cần tăng thiết bị bóng hắt tường lên 23 phần trăm với,smart.home.increase.percentage,0,mình cần tăng thiết_bị bóng 23 phần_trăm với,0,smart.home.increase.percentage
tăng thêm hết đèn flash thứ 2 lên 100 phần trăm,smart.home.increase.percentage,0,tăng thêm hết lên 100 phần_trăm,0,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng đèn tròn thứ 3 lên được không,smart.home.increase.percentage,True,bạn có_thể tăng giúp mình độ sáng đèn được không,0,smart.home.increase.percentage
em tăng giúp anh cửa cuốn thứ 3 nhé,smart.home.increase.percentage,True,em tăng giúp anh,0,smart.home.increase.percentage
tăng đèn thờ 4 lên 22 phần trăm ở phòng ăn trưa phòng 10,smart.home.increase.percentage,0,tăng lên 22 phần_trăm ở phòng,0,smart.home.increase.percentage
nút nhấn 2 phòng nghiên cứu 1 tăng lên 50 phần trăm,smart.home.increase.percentage,0,lên 50 phần_trăm,0,smart.home.increase.percentage
giúp tôi tăng thêm đèn lồng thứ 1 phòng là thêm 10 phần trăm nữa,smart.home.increase.percentage,0,giúp tôi tăng thêm 10 phần_trăm nữa,0,smart.home.increase.percentage
tăng tvs thứ 1 lên 21 phần trăm,smart.home.increase.percentage,0,tăng lên 21 phần_trăm,True,smart.home.decrease.percentage
giúp tôi tăng lên đèn treo tường thứ 4 sân sau thêm 28 phần trăm nữa,smart.home.increase.percentage,0,giúp tôi tăng lên thêm 28 phần_trăm nữa,0,smart.home.increase.percentage
giúp mình tăng màn cửa đôi 4 lên 10 phần trăm ở phòng nam tầng thượng 5 nhé,smart.home.increase.percentage,0,giúp mình tăng 10 phần_trăm ở phòng nam,0,smart.home.increase.percentage
giúp tôi tăng thêm bóng ốp tường thứ 4 phòng con nhỏ 1 thêm 20 phần trăm nữa,smart.home.increase.percentage,0,giúp tôi tăng thêm thêm 20 phần_trăm nữa,0,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của van nước thứ 2 bên phòng chánh 4 lên 10 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể giúp mình tăng mức_độ của van nước chánh phần_trăm được không,True,smart.home.check.status
thay đổi kịch bản nhé,smart.home.increase.percentage,0,thay_đổi kịch_bản,True,smart.home.check.status
tăng độ sáng đèn rủ 2 thêm 4 phần trăm,smart.home.increase.percentage,0,tăng độ sáng thêm 4 phần_trăm,0,smart.home.increase.percentage
giúp mình tăng led lên 17 phần trăm nhé,smart.home.increase.percentage,0,giúp mình tăng lên 17 phần_trăm nhé,0,smart.home.increase.percentage
bạn giúp mình tăng bóng thả 1 lên 10 phần trăm với,smart.home.increase.percentage,0,bạn giúp mình tăng lên 10 phần_trăm với,0,smart.home.increase.percentage
tăng đến bóng tường sân sau đến 68 phần trăm,smart.home.increase.percentage,0,tăng đến đến 68 phần_trăm,0,smart.home.increase.percentage
bạn tăng đèn thờ thứ 1 ở phòng ngủ con 1 phòng 8 lên 3 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,bạn tăng ở lên 3 phần_trăm hộ mình với bôi_đen bạn bỏ dấu ngoặc_kép ra nhé v,0,smart.home.increase.percentage
thay đổi ốp tường 3 nhé,smart.home.increase.percentage,0,thay_đổi ốp,True,smart.home.check.status
tăng bóng vách lên 14 phần trăm ở phòng ăn 5 1,smart.home.increase.percentage,0,tăng lên 14 phần_trăm ở phòng,0,smart.home.increase.percentage
mình muốn tăng mức độ của đèn sân 2,smart.home.increase.percentage,True,mình muốn tăng mức_độ của đèn,0,smart.home.increase.percentage
tăng thêm mọi đèn cây 4 lên 50 phần trăm,smart.home.increase.percentage,0,tăng thêm mọi 50 phần_trăm,True,smart.home.increase.level
làm ơn tăng đến đèn vườn 4 lên 75 phần trăm giúp tôi,smart.home.increase.percentage,0,làm ơn tăng đến lên 75 phần_trăm giúp tôi,0,smart.home.increase.percentage
hãy tăng thêm độ sáng phòng chung 3 lên 52 phần trăm,smart.home.increase.percentage,0,hãy tăng thêm độ sáng lên 52 phần_trăm,0,smart.home.increase.percentage
làm ơn tăng thêm đèn hoa thứ 2 lên 96 phần trăm giúp tôi,smart.home.increase.percentage,0,làm ơn tăng thêm lên 96 phần_trăm giúp tôi,0,smart.home.increase.percentage
tăng thêm đèn thả lên 66 phần trăm nhé,smart.home.increase.percentage,0,tăng thêm lên 66 phần_trăm nhé,0,smart.home.increase.percentage
làm ơn tăng mành cuốn thứ 3 lên 51 phần trăm giúp tôi,smart.home.increase.percentage,0,làm ơn tăng lên 51 phần_trăm giúp tôi,0,smart.home.increase.percentage
tăng âm thanh đa vùng 27 phần trăm,smart.home.increase.percentage,0,tăng phần_trăm,0,smart.home.increase.percentage
mình cần tăng thiết bị quạt thông gió lên 27 phần trăm với,smart.home.increase.percentage,0,mình cần tăng thiết_bị quạt 27 phần_trăm với,0,smart.home.increase.percentage
tăng thêm quạt thông gió thứ 4 vườn 3 thêm 24 phần trăm,smart.home.increase.percentage,0,tăng thêm thêm 24 phần_trăm,True,smart.home.increase.level
tăng bóng đứng 4 lên 27 phần trăm giúp mình,smart.home.increase.percentage,0,tăng lên 27 phần_trăm giúp mình,0,smart.home.increase.percentage
đèn treo tường thứ 4 thêm 22 phần trăm,smart.home.increase.percentage,0,thêm 22 phần_trăm,True,smart.home.decrease.percentage
tăng thêm bóng rủ 3 lên 61 phần trăm nhé,smart.home.increase.percentage,0,tăng thêm lên 61 phần_trăm nhé,0,smart.home.increase.percentage
